p_name,name,type,zone,value
adc_a_TLMO3-1,adc_a,snow,TLMO3-1,0.7432343
adc_a_TLMO3-2,adc_a,snow,TLMO3-2,0.67964548
adc_b_TLMO3-1,adc_b,snow,TLMO3-1,4.1597194
adc_b_TLMO3-2,adc_b,snow,TLMO3-2,0.05011712
adc_c_TLMO3-1,adc_c,snow,TLMO3-1,0.1820754
adc_c_TLMO3-2,adc_c,snow,TLMO3-2,6.9269204
adimp_TLMO3-1,adimp,sac,TLMO3-1,0.28859803
adimp_TLMO3-2,adimp,sac,TLMO3-2,0.20053589
alat_TLMO3-1,alat,snow,TLMO3-1,45.564
alat_TLMO3-2,alat,snow,TLMO3-2,45.62
daygm_TLMO3-1,daygm,snow,TLMO3-1,0
daygm_TLMO3-2,daygm,snow,TLMO3-2,0
elev_TLMO3-1,elev,snow,TLMO3-1,407.282
elev_TLMO3-2,elev,snow,TLMO3-2,705.947
init_adimc_TLMO3-1,init_adimc,sac,TLMO3-1,435.06666
init_adimc_TLMO3-2,init_adimc,sac,TLMO3-2,706.4192
init_lzfpc_TLMO3-1,init_lzfpc,sac,TLMO3-1,4.6718036
init_lzfpc_TLMO3-2,init_lzfpc,sac,TLMO3-2,130.37867
init_lzfsc_TLMO3-1,init_lzfsc,sac,TLMO3-1,0.014001136
init_lzfsc_TLMO3-2,init_lzfsc,sac,TLMO3-2,93.521082
init_lztwc_TLMO3-1,init_lztwc,sac,TLMO3-1,450.87196
init_lztwc_TLMO3-2,init_lztwc,sac,TLMO3-2,715.07445
init_swe_TLMO3-1,init_swe,snow,TLMO3-1,0
init_swe_TLMO3-2,init_swe,snow,TLMO3-2,0
init_uzfwc_TLMO3-1,init_uzfwc,sac,TLMO3-1,16.720241
init_uzfwc_TLMO3-2,init_uzfwc,sac,TLMO3-2,323.77623
init_uztwc_TLMO3-1,init_uztwc,sac,TLMO3-1,156.94437
init_uztwc_TLMO3-2,init_uztwc,sac,TLMO3-2,14.958142
lzfpm_TLMO3-1,lzfpm,sac,TLMO3-1,543.15089
lzfpm_TLMO3-2,lzfpm,sac,TLMO3-2,672.72502
lzfsm_TLMO3-1,lzfsm,sac,TLMO3-1,593.86554
lzfsm_TLMO3-2,lzfsm,sac,TLMO3-2,239.6645
lzpk_TLMO3-1,lzpk,sac,TLMO3-1,0.016227786
lzpk_TLMO3-2,lzpk,sac,TLMO3-2,0.0045501873
lzsk_TLMO3-1,lzsk,sac,TLMO3-1,0.28549587
lzsk_TLMO3-2,lzsk,sac,TLMO3-2,0.28090483
lztwm_TLMO3-1,lztwm,sac,TLMO3-1,458.49886
lztwm_TLMO3-2,lztwm,sac,TLMO3-2,476.20143
map_lower_01_TLMO3-1,map_lower_01,fa_limit,TLMO3-1,202.860658902857
map_lower_01_TLMO3-2,map_lower_01,fa_limit,TLMO3-2,202.860658902857
map_lower_02_TLMO3-1,map_lower_02,fa_limit,TLMO3-1,162.497788868571
map_lower_02_TLMO3-2,map_lower_02,fa_limit,TLMO3-2,162.497788868571
map_lower_03_TLMO3-1,map_lower_03,fa_limit,TLMO3-1,179.923085125714
map_lower_03_TLMO3-2,map_lower_03,fa_limit,TLMO3-2,179.923085125714
map_lower_04_TLMO3-1,map_lower_04,fa_limit,TLMO3-1,118.7403137
map_lower_04_TLMO3-2,map_lower_04,fa_limit,TLMO3-2,118.7403137
map_lower_05_TLMO3-1,map_lower_05,fa_limit,TLMO3-1,71.31688175
map_lower_05_TLMO3-2,map_lower_05,fa_limit,TLMO3-2,71.31688175
map_lower_06_TLMO3-1,map_lower_06,fa_limit,TLMO3-1,45.136816
map_lower_06_TLMO3-2,map_lower_06,fa_limit,TLMO3-2,45.136816
map_lower_07_TLMO3-1,map_lower_07,fa_limit,TLMO3-1,10.96511015
map_lower_07_TLMO3-2,map_lower_07,fa_limit,TLMO3-2,10.96511015
map_lower_08_TLMO3-1,map_lower_08,fa_limit,TLMO3-1,14.59960885
map_lower_08_TLMO3-2,map_lower_08,fa_limit,TLMO3-2,14.59960885
map_lower_09_TLMO3-1,map_lower_09,fa_limit,TLMO3-1,47.22951565
map_lower_09_TLMO3-2,map_lower_09,fa_limit,TLMO3-2,47.22951565
map_lower_10_TLMO3-1,map_lower_10,fa_limit,TLMO3-1,119.382078445714
map_lower_10_TLMO3-2,map_lower_10,fa_limit,TLMO3-2,119.382078445714
map_lower_11_TLMO3-1,map_lower_11,fa_limit,TLMO3-1,225.998121864706
map_lower_11_TLMO3-2,map_lower_11,fa_limit,TLMO3-2,225.998121864706
map_lower_12_TLMO3-1,map_lower_12,fa_limit,TLMO3-1,228.308656023529
map_lower_12_TLMO3-2,map_lower_12,fa_limit,TLMO3-2,228.308656023529
map_p_redist_TLMO3,map_p_redist,fa,TLMO3,0.26537924
map_scale_TLMO3,map_scale,fa,TLMO3,1.114937
map_shift_TLMO3,map_shift,fa,TLMO3,1.1025143
map_std_TLMO3,map_std,fa,TLMO3,1.1597262
map_upper_01_TLMO3-1,map_upper_01,fa_limit,TLMO3-1,465.030558238889
map_upper_01_TLMO3-2,map_upper_01,fa_limit,TLMO3-2,465.030558238889
map_upper_02_TLMO3-1,map_upper_02,fa_limit,TLMO3-1,455.686723738889
map_upper_02_TLMO3-2,map_upper_02,fa_limit,TLMO3-2,455.686723738889
map_upper_03_TLMO3-1,map_upper_03,fa_limit,TLMO3-1,387.152348488889
