name,zone,lower,upper
init_adimc_TLMO3-2,TLMO3-2,0,1000
scf_TLMO3-2,TLMO3-2,0.7,2
mfmax_TLMO3-2,TLMO3-2,0.5,3
mfmin_TLMO3-2,TLMO3-2,0.01,0.49
uadj_TLMO3-2,TLMO3-2,0.01,0.4
si_TLMO3-2,TLMO3-2,1,3500
adc_a_TLMO3-2,TLMO3-2,0,1
adc_b_TLMO3-2,TLMO3-2,0.05,10
adc_c_TLMO3-2,TLMO3-2,0.05,10
unit_shape_TLMO3-2,TLMO3-2,1,3
unit_scale_TLMO3-2,TLMO3-2,0.1,4
map_adj_01_TLMO3-2,TLMO3-2,0.409292854359956,1.37562281980563
map_adj_02_TLMO3-2,TLMO3-2,0.283964082920011,1.04532542737884
map_adj_03_TLMO3-2,TLMO3-2,0.332260051573929,1.1922264225443
map_adj_04_TLMO3-2,TLMO3-2,0.30659682978267,1.30244263345285
map_adj_05_TLMO3-2,TLMO3-2,0.216436574410337,1.88143280279074
map_adj_06_TLMO3-2,TLMO3-2,0.191263968026772,1.61184290682785
map_adj_07_TLMO3-2,TLMO3-2,0.0822106774691707,5.43154737679734
map_adj_08_TLMO3-2,TLMO3-2,0.0782269914039686,20
map_adj_09_TLMO3-2,TLMO3-2,0.0975786420992374,20
map_adj_10_TLMO3-2,TLMO3-2,0.245891571232856,1.45536946614488
map_adj_11_TLMO3-2,TLMO3-2,0.294221210482753,1.04555947791591
map_adj_12_TLMO3-2,TLMO3-2,0.33853678052857,1.13381131038277
mat_adj_01_TLMO3-2,TLMO3-2,-1.44815637969999,3.46402785106974
mat_adj_02_TLMO3-2,TLMO3-2,-2.0684775736,2.38805855652561
mat_adj_03_TLMO3-2,TLMO3-2,-1.8507092491,1.71027746428537
mat_adj_04_TLMO3-2,TLMO3-2,-1.825500945,1.86516282137369
mat_adj_05_TLMO3-2,TLMO3-2,-1.721716331,1.32486475047948
mat_adj_06_TLMO3-2,TLMO3-2,-2.188880515,1.04373918636067
mat_adj_07_TLMO3-2,TLMO3-2,-2.643607247,0.333167180509702
mat_adj_08_TLMO3-2,TLMO3-2,-2.16590138,0.226905759954339
mat_adj_09_TLMO3-2,TLMO3-2,-3.133067428,1.17272995555665
mat_adj_10_TLMO3-2,TLMO3-2,-2.301168335,2.16442184000004
mat_adj_11_TLMO3-2,TLMO3-2,-2.12861364,2.19981667285807
mat_adj_12_TLMO3-2,TLMO3-2,-1.021350002,2.03719371498897
pet_adj_01_TLMO3-2,TLMO3-2,0.271954252324842,2.92047732608908
pet_adj_02_TLMO3-2,TLMO3-2,0.534717371448829,1.79152931714623
pet_adj_03_TLMO3-2,TLMO3-2,0.84987496013527,1.46709633765078
pet_adj_04_TLMO3-2,TLMO3-2,0.949303225991272,1.2244043836796
pet_adj_05_TLMO3-2,TLMO3-2,0.869581430685062,1.11760528766565
pet_adj_06_TLMO3-2,TLMO3-2,0.842787695231587,1.11406946090723
pet_adj_07_TLMO3-2,TLMO3-2,0.836354001869639,1.16495738828535
pet_adj_08_TLMO3-2,TLMO3-2,0.789300530719046,1.18500656199399
pet_adj_09_TLMO3-2,TLMO3-2,0.783150020501609,1.28745251588132
pet_adj_10_TLMO3-2,TLMO3-2,0.641057151472874,1.44740464654024
pet_adj_11_TLMO3-2,TLMO3-2,0.384788935941895,2.10787313554132
pet_adj_12_TLMO3-2,TLMO3-2,0.133205948930225,2.84079321459632
ptps_adj_01_TLMO3-2,TLMO3-2,0.109385071273681,4.7617235180431
ptps_adj_02_TLMO3-2,TLMO3-2,0.0239665705692702,4.4743960815523
ptps_adj_03_TLMO3-2,TLMO3-2,0.00238040653805488,20
ptps_adj_04_TLMO3-2,TLMO3-2,0,4.73732819356603
ptps_adj_05_TLMO3-2,TLMO3-2,0,20
ptps_adj_06_TLMO3-2,TLMO3-2,0.34,1.1
ptps_adj_07_TLMO3-2,TLMO3-2,0.9,1.1
ptps_adj_08_TLMO3-2,TLMO3-2,0.9,1.1
ptps_adj_09_TLMO3-2,TLMO3-2,0.9,1.1
ptps_adj_10_TLMO3-2,TLMO3-2,0,1.59344740217119
ptps_adj_11_TLMO3-2,TLMO3-2,0,20
ptps_adj_12_TLMO3-2,TLMO3-2,0.0226387298129261,20
